event,ts_utc,count,filename,out_dir,interval_seconds,display,region,send
start,2026-08-13T19:19:56.195700+00:00,0,,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
stop,2026-08-13T19:19:56.214790+00:00,0,,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
start,2026-08-13T19:22:28.565758+00:00,0,,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
stop,2026-08-13T19:22:28.578665+00:00,0,,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
start,2026-08-13T19:23:58.161531+00:00,0,,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
stop,2026-08-13T19:23:58.181096+00:00,0,,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
start,2026-08-13T19:24:41.744872+00:00,0,,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
stop,2026-08-13T19:24:41.765168+00:00,0,,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
start,2026-08-13T19:27:06.120418+00:00,0,,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T19:27:08.833788+00:00,1,axiom_20260813T192706Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T19:29:11.493209+00:00,2,axiom_20260813T192908Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T19:31:14.386185+00:00,3,axiom_20260813T193111Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T19:33:17.036703+00:00,4,axiom_20260813T193314Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T19:35:19.380603+00:00,5,axiom_20260813T193517Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T19:37:21.939671+00:00,6,axiom_20260813T193719Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T19:39:24.179491+00:00,7,axiom_20260813T193921Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T19:41:26.415334+00:00,8,axiom_20260813T194124Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T19:43:28.884763+00:00,9,axiom_20260813T194326Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T19:45:31.284402+00:00,10,axiom_20260813T194528Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T19:47:33.619992+00:00,11,axiom_20260813T194731Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T19:49:36.020052+00:00,12,axiom_20260813T194933Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T19:51:38.265184+00:00,13,axiom_20260813T195136Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T19:53:40.763044+00:00,14,axiom_20260813T195338Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T19:55:43.006888+00:00,15,axiom_20260813T195540Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T19:57:45.229263+00:00,16,axiom_20260813T195743Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T19:59:47.564068+00:00,17,axiom_20260813T195945Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T20:01:49.937934+00:00,18,axiom_20260813T200147Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T20:03:52.517435+00:00,19,axiom_20260813T200349Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T20:05:54.985616+00:00,20,axiom_20260813T200552Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T20:07:57.390522+00:00,21,axiom_20260813T200755Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T20:09:59.739874+00:00,22,axiom_20260813T200957Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T20:12:02.144563+00:00,23,axiom_20260813T201159Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T20:14:04.667214+00:00,24,axiom_20260813T201402Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T20:16:07.145356+00:00,25,axiom_20260813T201604Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T20:18:09.515906+00:00,26,axiom_20260813T201807Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T20:20:12.004902+00:00,27,axiom_20260813T202009Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T20:22:14.298055+00:00,28,axiom_20260813T202212Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T20:24:16.666570+00:00,29,axiom_20260813T202414Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T20:26:19.028736+00:00,30,axiom_20260813T202616Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T20:28:21.431787+00:00,31,axiom_20260813T202819Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T20:30:23.796770+00:00,32,axiom_20260813T203021Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T20:32:26.145480+00:00,33,axiom_20260813T203223Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T20:34:28.623133+00:00,34,axiom_20260813T203426Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
capture,2026-08-13T20:36:30.897455+00:00,35,axiom_20260813T203628Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
stop,2026-08-13T20:37:48.416616+00:00,35,,/home/gg/Documents/codes/cli_ap/multicomputeverse_v1,120.0,1,None,git
